1927/1928  1        Actor|Richard Barthelmess|The Noose
                    Music (Original Score)|Dragonslayer|Alex North
                    Music (Original Score)|On Golden Pond|Dave Grusin
                    Music (Original Score)|Ragtime|Randy Newman
                    Music (Original Score)|Raiders of the Lost Ark|John Williams
             Winner Music (Original Song)|"""Arthur's Theme (Best That You Can Do)"" from Arthur"|Music and Lyric by Burt Bacharach, Carole Bayer Sager, Christopher Cross and Peter Allen
                    Music (Original Song)|"""Endless Love"" from Endless Love"|Music and Lyric by Lionel Richie
                    Music (Original Song)|"""The First Time It Happens"" from The Great Muppet Caper"|Music and Lyric by Joe Raposo
                    Music (Original Song)|"""For Your Eyes Only"" from For Your Eyes Only"|Music by Bill Conti; Lyric by Mick Leeson
                    Music (Original Song)|"""One More Hour"" from Ragtime"|Music and Lyric by Randy Newman
                    Best Picture|Atlantic City|Denis Heroux and John Kemeny, Producers
             Winner Best Picture|Chariots of Fire|David Puttnam, Producer
                    Best Picture|On Golden Pond|Bruce Gilbert, Producer
                    Best Picture|Raiders of the Lost Ark|Frank Marshall, Producer
                    Best Picture|Reds|Warren Beatty, Producer
             Winner Short Film (Animated)|Crac|Frédéric Back, Producer
                    Short Film (Animated)|The Creation|Will Vinton, Producer
                    Short Film (Animated)|The Tender Tale of Cinderella Penguin|Janet Perlman, Producer
                    Short Film (Live Action)|Couples and Robbers|Christine Oestreicher, Producer
                    Short Film (Live Action)|First Winter|John N. Smith, Producer
             Winner Short Film (Live Action)|Violet|Paul Kemp and Shelley Levinson, Producers
                    Sound|On Golden Pond|Richard Portman, David Ronne
                    Sound|Outland|John K. Wilkinson, Robert W. Glass, Jr., Robert M. Thirlwell, Robin Gregory
                    Sound|Pennies from Heaven|Michael J. Kohut, Jay M. Harding, Richard Tyler, Al Overton
             Winner Sound|Raiders of the Lost Ark|Bill Varney, Steve Maslow, Gregg Landaker, Roy Charman
                    Sound|Reds|Dick Vorisek, Tom Fleischman, Simon Kaye
                    Visual Effects|Dragonslayer|Dennis Muren, Phil Tippett, Ken Ralston, Brian Johnson
             Winner Visual Effects|Raiders of the Lost Ark|Richard Edlund, Kit West, Bruce Nicholson, Joe Johnston
                    Writing (Screenplay Based on Material from Another Medium)|The French Lieutenant's Woman|Harold Pinter
             Winner Writing (Screenplay Based on Material from Another Medium)|On Golden Pond|Ernest Thompson
                    Writing (Screenplay Based on Material from Another Medium)|Pennies from Heaven|Dennis Potter
                    Writing (Screenplay Based on Material from Another Medium)|Prince of the City|Jay Presson Allen, Sidney Lumet
                    Writing (Screenplay Based on Material from Another Medium)|Ragtime|Michael Weller
                    Writing (Screenplay Written Directly for the Screen)|Absence of Malice|Kurt Luedtke
                    Writing (Screenplay Written Directly for the Screen)|Arthur|Steve Gordon
                    Writing (Screenplay Written Directly for the Screen)|Atlantic City|John Guare
             Winner Writing (Screenplay Written Directly for the Screen)|Chariots of Fire|Colin Welland
                    Writing (Screenplay Written Directly for the Screen)|Reds|Warren Beatty, Trevor Griffiths
             Winner Special Achievement Award (Sound Effects Editing)|Raiders of the Lost Ark|Ben Burtt, Richard L. Anderson
             Winner Jean Hersholt Humanitarian Award|Danny Kaye|
             Winner Honorary Award|Barbara Stanwyck|
             Winner Irving G. Thalberg Memorial Award|Albert R. Broccoli|
             Winner Gordon E. Sawyer Award|Joseph B. Walker|
1982      55        Actor in a Leading Role|Dustin Hoffman|Tootsie
             Winner Actor in a Leading Role|Ben Kingsley|Gandhi
                    Actor in a Leading Role|Jack Lemmon|Missing
                    Actor in a Leading Role|Paul Newman|The Verdict
                    Actor in a Leading Role|Peter O'Toole|My Favorite Year
                    Actor in a Supporting Role|Charles Durning|The Best Little Whorehouse in Texas
             Winner Actor in a Supporting Role|Louis Gossett, Jr.|An Officer and a Gentleman
                    Actor in a Supporting Role|John Lithgow|The World According to Garp
                    Actor in a Supporting Role|James Mason|The Verdict
                    Actor in a Supporting Role|Robert Preston|Victor/Victoria
                    Actress in a Leading Role|Julie Andrews|Victor/Victoria
                    Actress in a Leading Role|Jessica Lange|Frances
                    Actress in a Leading Role|Sissy Spacek|Missing
             Winner Actress in a Leading Role|Meryl Streep|Sophie's Choice
                    Actress in a Leading Role|Debra Winger|An Officer and a Gentleman
                    Actress in a Supporting Role|Glenn Close|The World According to Garp
                    Actress in a Supporting Role|Teri Garr|Tootsie
             Winner Actress in a Supporting Role|Jessica Lange|Tootsie
                    Actress in a Supporting Role|Kim Stanley|Frances
                    Actress in a Supporting Role|Lesley Ann Warren|Victor/Victoria
                    Art Direction|Annie|Art Direction: Dale Hennesy; Set Decoration: Marvin March
                    Art Direction|Blade Runner|Art Direction: Lawrence G. Paull, David L. Snyder; Set Decoration: Linda DeScenna
             Winner Art Direction|Gandhi|Art Direction: Stuart Craig, Bob Laing; Set Decoration: Michael Seirton
                    Art Direction|La Traviata|Art Direction: Franco Zeffirelli; Set Decoration: Gianni Quaranta
                    Art Direction|Victor/Victoria|Art Direction: Rodger Maus, Tim Hutchinson, William Craig Smith; Set Decoration: Harry Cordwell
                    Cinematography|Das Boot|Jost Vacano
                    Cinematography|E.T. The Extra-Terrestrial|Allen Daviau
             Winner Cinematography|Gandhi|Billy Williams, Ronnie Taylor
                    Cinematography|Sophie's Choice|Nestor Almendros
                    Cinematography|Tootsie|Owen Roizman
             Winner Costume Design|Gandhi|John Mollo, Bhanu Athaiya
                    Costume Design|La Traviata|Piero Tosi
                    Costume Design|Sophie's Choice|Albert Wolsky
                    Costume Design|Tron|Elois Jenssen, Rosanna Norton
                    Costume Design|Victor/Victoria|Patricia Norris
                    Directing|Das Boot|Wolfgang Petersen
                    Directing|E.T. The Extra-Terrestrial|Steven Spielberg
             Winner Directing|Gandhi|Richard Attenborough
                    Directing|Tootsie|Sydney Pollack
                    Directing|The Verdict|Sidney Lumet
                    Documentary (Feature)|After the Axe|Sturla Gunnarsson and Steve Lucas, Producers
                    Documentary (Feature)|Ben's Mill|John Karol and Michel Chalufour, Producers
                    Documentary (Feature)|In Our Water|Meg Switzgable, Producer
             Winner Documentary (Feature)|Just Another Missing Kid|John Zaritsky, Producer
                    Documentary (Feature)|A Portrait of Giselle|Joseph Wishy, Producer
                    Documentary (Short Subject)|Gods of Metal|Robert Richter, Producer
             Winner Documentary (Short Subject)|If You Love This Planet|Edward Le Lorrain and Terri Nash, Producers
                    Documentary (Short Subject)|The Klan: A Legacy of Hate in America|Charles Guggenheim and Werner Schumann, Producers
                    Documentary (Short Subject)|To Live or Let Die|Freida Lee Mock, Producer
                    Documentary (Short Subject)|Traveling Hopefully|John G. Avildsen, Producer
                    Film Editing|Das Boot|Hannes Nikel
                    Film Editing|E.T. The Extra-Terrestrial|Carol Littleton
             Winner Film Editing|Gandhi|John Bloom
                    Film Editing|An Officer and a Gentleman|Peter Zinner
                    Film Editing|Tootsie|Fredric Steinkamp, William Steinkamp
                    Foreign Language Film|Alsino and the Condor|Nicaragua
                    Foreign Language Film|Coup de Torchon ('Clean Slate')|France
                    Foreign Language Film|The Flight of the Eagle|Sweden
                    Foreign Language Film|Private Life|Union of Soviet Socialist Republics
             Winner Foreign Language Film|Volver a Empezar ('To Begin Again')|Spain
                    Makeup|Gandhi|Tom Smith
             Winner Makeup|Quest for Fire|Sarah Monzani, Michèle Burke
             Winner Music (Original Score)|E.T. The Extra-Terrestrial|John Williams
                    Music (Original Score)|Gandhi|Ravi Shankar, George Fenton
                    Music (Original Score)|An Officer and a Gentleman|Jack Nitzsche
                    Music (Original Score)|Poltergeist|Jerry Goldsmith
                    Music (Original Score)|Sophie's Choice|Marvin Hamlisch
                    Music (Original Song Score and Its Adaptation -Or- Adaptation Score)|Annie|Adaptation Score by Ralph Burns
                    Music (Original Song Score and Its Adaptation -Or- Adaptation Score)|One from the Heart|Song Score by Tom Waits
             Winner Music (Original Song Score and Its Adaptation -Or- Adaptation Score)|Victor/Victoria|Song Score by Henry Mancini and Leslie Bricusse; Adaptation Score by Henry Mancini
                    Music (Original Song)|"""Eye Of The Tiger"" from Rocky III"|Music and Lyric by Jim Peterik and Frankie Sullivan III
                    Music (Original Song)|"""How Do You Keep The Music Playing?"" from Best Friends"|Music by Michel Legrand; Lyric by Alan Bergman and Marilyn Bergman
                    Music (Original Song)|"""If We Were In Love"" from Yes, Giorgio"|Music by John Williams; Lyric by Alan Bergman and Marilyn Bergman
                    Music (Original Song)|"""It Might Be You"" from Tootsie"|Music by Dave Grusin; Lyric by Alan Bergman and Marilyn Bergman
             Winner Music (Original Song)|"""Up Where We Belong"" from An Officer and a Gentleman"|Music by Jack Nitzsche and Buffy Sainte-Marie; Lyric by Will Jennings
                    Best Picture|E.T. The Extra-Terrestrial|Steven Spielberg and Kathleen Kennedy, Producers
             Winner Best Picture|Gandhi|Richard Attenborough, Producer
                    Best Picture|Missing|Edward Lewis and Mildred Lewis, Producers
                    Best Picture|Tootsie|Sydney Pollack and Dick Richards, Producers
                    Best Picture|The Verdict|Richard D. Zanuck and David Brown, Producers
